rowid,question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
11,140304,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:43,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Ryan,19168,Tim Ryan,DEM,38.0
12,140304,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:43,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Timken,19165,Jane Timken,REP,41.0
13,140305,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:43,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Ryan,19168,Tim Ryan,DEM,37.0
14,140305,74544,2022,Ohio,383,Public Policy Polling,973,314 Action,Public Policy Polling,263,Public Policy Polling,A-,700,v,v,IVR/Text,U.S. Senate,2,Class III,3/18/21,3/19/21,11/8/22,,0,DEM,,0,0,3/22/21 19:43,,https://314action.org/wp-content/uploads/2021/03/OhioResults1-GE.pdf,general,8942,Vance,19167,James David Vance,REP,39.0
15,140159,74487,2022,Georgia,1671,Trafalgar Group/InsiderAdvantage,432,Insider Advantage,Trafalgar Group/InsiderAdvantage,671,Trafalgar Group/InsiderAdvantage,,1093,lv,lv,IVR/Online/Text,U.S. Senate,2,Class III,3/7/21,3/9/21,11/8/22,,0,,,0,0,3/12/21 09:24,,https://drive.google.com/file/d/1skbdNwZQUMSjSUoZChPgAlrO9ZG5S4xp/view,general,8925,Warnock,19086,Raphael Warnock,DEM,45.8
16,140159,74487,2022,Georgia,1671,Trafalgar Group/InsiderAdvantage,432,Insider Advantage,Trafalgar Group/InsiderAdvantage,671,Trafalgar Group/InsiderAdvantage,,1093,lv,lv,IVR/Online/Text,U.S. Senate,2,Class III,3/7/21,3/9/21,11/8/22,,0,,,0,0,3/12/21 09:24,,https://drive.google.com/file/d/1skbdNwZQUMSjSUoZChPgAlrO9ZG5S4xp/view,general,8925,Collins,19087,Doug Collins,REP,45.2
17,140160,74487,2022,Georgia,1671,Trafalgar Group/InsiderAdvantage,432,Insider Advantage,Trafalgar Group/InsiderAdvantage,671,Trafalgar Group/InsiderAdvantage,,1093,lv,lv,IVR/Online/Text,U.S. Senate,2,Class III,3/7/21,3/9/21,11/8/22,,0,,,0,0,3/12/21 09:24,,https://drive.google.com/file/d/1skbdNwZQUMSjSUoZChPgAlrO9ZG5S4xp/view,general,8925,Warnock,19086,Raphael Warnock,DEM,45.5
18,140160,74487,2022,Georgia,1671,Trafalgar Group/InsiderAdvantage,432,Insider Advantage,Trafalgar Group/InsiderAdvantage,671,Trafalgar Group/InsiderAdvantage,,1093,lv,lv,IVR/Online/Text,U.S. Senate,2,Class III,3/7/21,3/9/21,11/8/22,,0,,,0,0,3/12/21 09:24,,https://drive.google.com/file/d/1skbdNwZQUMSjSUoZChPgAlrO9ZG5S4xp/view,general,8925,Walker,19088,Herschel Walker,REP,47.7
19,140161,74487,2022,Georgia,1671,Trafalgar Group/InsiderAdvantage,432,Insider Advantage,Trafalgar Group/InsiderAdvantage,671,Trafalgar Group/InsiderAdvantage,,1093,lv,lv,IVR/Online/Text,U.S. Senate,2,Class III,3/7/21,3/9/21,11/8/22,,0,,,0,0,3/12/21 09:26,,https://drive.google.com/file/d/1skbdNwZQUMSjSUoZChPgAlrO9ZG5S4xp/view,general,8925,Warnock,19086,Raphael Warnock,DEM,45.6
20,140161,74487,2022,Georgia,1671,Trafalgar Group/InsiderAdvantage,432,Insider Advantage,Trafalgar Group/InsiderAdvantage,671,Trafalgar Group/InsiderAdvantage,,1093,lv,lv,IVR/Online/Text,U.S. Senate,2,Class III,3/7/21,3/9/21,11/8/22,,0,,,0,0,3/12/21 09:26,,https://drive.google.com/file/d/1skbdNwZQUMSjSUoZChPgAlrO9ZG5S4xp/view,general,8925,Loeffler,19089,Kelly Loeffler,REP,40.9
21,140137,74471,2022,New Hampshire,446,Saint Anselm College,,,Saint Anselm College,494,Saint Anselm College,A/B,871,rv,rv,Online,U.S. Senate,2,Class III,3/4/21,3/6/21,11/8/22,,0,,,0,0,3/10/21 21:22,,https://www.anselm.edu/sites/default/files/Images/NHIOP/SACSurveyBook321.pdf,general,8938,Hassan,18225,Margaret Wood Hassan,DEM,41.0
22,140137,74471,2022,New Hampshire,446,Saint Anselm College,,,Saint Anselm College,494,Saint Anselm College,A/B,871,rv,rv,Online,U.S. Senate,2,Class III,3/4/21,3/6/21,11/8/22,,0,,,0,0,3/10/21 21:22,,https://www.anselm.edu/sites/default/files/Images/NHIOP/SACSurveyBook321.pdf,general,8938,Sununu,18226,Christopher Sununu,REP,47.0
23,139929,74407,2022,New Hampshire,525,University of New Hampshire,,,University of New Hampshire,357,University of New Hampshire,B-,1676,lv,lv,Online,U.S. Senate,2,Class III,2/18/21,2/22/21,11/8/22,,0,,,0,0,2/25/21 09:36,,https://scholars.unh.edu/survey_center_polls/639/,general,8938,Hassan,18225,Margaret Wood Hassan,DEM,46.0
24,139929,74407,2022,New Hampshire,525,University of New Hampshire,,,University of New Hampshire,357,University of New Hampshire,B-,1676,lv,lv,Online,U.S. Senate,2,Class III,2/18/21,2/22/21,11/8/22,,0,,,0,0,2/25/21 09:36,,https://scholars.unh.edu/survey_center_polls/639/,general,8938,Sununu,18226,Christopher Sununu,REP,48.0
25,139930,74407,2022,New Hampshire,525,University of New Hampshire,,,University of New Hampshire,357,University of New Hampshire,B-,1676,lv,lv,Online,U.S. Senate,2,Class III,2/18/21,2/22/21,11/8/22,,0,,,0,0,2/25/21 09:36,,https://scholars.unh.edu/survey_center_polls/639/,general,8938,Hassan,18225,Margaret Wood Hassan,DEM,48.0
26,139930,74407,2022,New Hampshire,525,University of New Hampshire,,,University of New Hampshire,357,University of New Hampshire,B-,1676,lv,lv,Online,U.S. Senate,2,Class III,2/18/21,2/22/21,11/8/22,,0,,,0,0,2/25/21 09:36,,https://scholars.unh.edu/survey_center_polls/639/,general,8938,Ayotte,18227,Kelly Ayotte,REP,43.0
27,139931,74407,2022,New Hampshire,525,University of New Hampshire,,,University of New Hampshire,357,University of New Hampshire,B-,1676,lv,lv,Online,U.S. Senate,2,Class III,2/18/21,2/22/21,11/8/22,,0,,,0,0,2/25/21 09:37,,https://scholars.unh.edu/survey_center_polls/639/,general,8938,Hassan,18225,Margaret Wood Hassan,DEM,52.0
28,139931,74407,2022,New Hampshire,525,University of New Hampshire,,,University of New Hampshire,357,University of New Hampshire,B-,1676,lv,lv,Online,U.S. Senate,2,Class III,2/18/21,2/22/21,11/8/22,,0,,,0,0,2/25/21 09:37,,https://scholars.unh.edu/survey_center_polls/639/,general,8938,Bolduc,18228,Don Bolduc,REP,39.0
29,139932,74407,2022,New Hampshire,525,University of New Hampshire,,,University of New Hampshire,357,University of New Hampshire,B-,1676,lv,lv,Online,U.S. Senate,2,Class III,2/18/21,2/22/21,11/8/22,,0,,,0,0,2/25/21 09:37,,https://scholars.unh.edu/survey_center_polls/639/,general,8938,Hassan,18225,Margaret Wood Hassan,DEM,53.0
30,139932,74407,2022,New Hampshire,525,University of New Hampshire,,,University of New Hampshire,357,University of New Hampshire,B-,1676,lv,lv,Online,U.S. Senate,2,Class III,2/18/21,2/22/21,11/8/22,,0,,,0,0,2/25/21 09:37,,https://scholars.unh.edu/survey_center_polls/639/,general,8938,Lewandowski,18229,Corey Lewandowski,REP,34.0
31,139357,74205,2022,Missouri,1515,Data for Progress,236,MoveOn,Data for Progress,522,Data for Progress,B,571,lv,lv,Online,U.S. Senate,2,Class III,1/10/21,1/12/21,11/8/22,,0,DEM,,0,0,1/20/21 13:38,,https://www.filesforprogress.org/datasets/2021/1/dfp-moveon-missouri-hawley-resignation-polling.pdf,general,8936,Kander,16627,Jason Kander,DEM,44.0
32,139357,74205,2022,Missouri,1515,Data for Progress,236,MoveOn,Data for Progress,522,Data for Progress,B,571,lv,lv,Online,U.S. Senate,2,Class III,1/10/21,1/12/21,11/8/22,,0,DEM,,0,0,1/20/21 13:38,,https://www.filesforprogress.org/datasets/2021/1/dfp-moveon-missouri-hawley-resignation-polling.pdf,general,8936,Blunt,16628,Roy Blunt,REP,45.0
33,138823,73993,2020,Georgia,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,A,857,lv,lv,Live Phone/Online,U.S. Senate,0,Class II,1/2/21,1/4/21,1/5/21,,0,,,0,0,1/4/21 19:35,,https://projects.fivethirtyeight.com/polls/20210104_GA_AtlasIntel.pdf,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,51.3
34,138823,73993,2020,Georgia,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,A,857,lv,lv,Live Phone/Online,U.S. Senate,0,Class II,1/2/21,1/4/21,1/5/21,,0,,,0,0,1/4/21 19:35,,https://projects.fivethirtyeight.com/polls/20210104_GA_AtlasIntel.pdf,runoff,8737,Perdue,14568,David A. Perdue,REP,46.8
35,138824,73993,2020,Georgia,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,A,857,lv,lv,Live Phone/Online,U.S. Senate,2,Class III,1/2/21,1/4/21,1/5/21,,0,,,0,0,1/4/21 19:35,,https://projects.fivethirtyeight.com/polls/20210104_GA_AtlasIntel.pdf,runoff,7781,Warnock,14489,Raphael Warnock,DEM,50.8
36,138824,73993,2020,Georgia,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,A,857,lv,lv,Live Phone/Online,U.S. Senate,2,Class III,1/2/21,1/4/21,1/5/21,,0,,,0,0,1/4/21 19:35,,https://projects.fivethirtyeight.com/polls/20210104_GA_AtlasIntel.pdf,runoff,7781,Loeffler,13671,Kelly Loeffler,REP,46.9
37,138845,74006,2020,Georgia,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,1056,lv,lv,IVR/Online/Text,U.S. Senate,0,Class II,1/2/21,1/4/21,1/5/21,,0,REP,,0,0,1/5/21 09:57,,https://www.thetrafalgargroup.org/news/ga-sen-0105/,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,49.4
38,138845,74006,2020,Georgia,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,1056,lv,lv,IVR/Online/Text,U.S. Senate,0,Class II,1/2/21,1/4/21,1/5/21,,0,REP,,0,0,1/5/21 09:57,,https://www.thetrafalgargroup.org/news/ga-sen-0105/,runoff,8737,Perdue,14568,David A. Perdue,REP,48.5
39,138846,74006,2020,Georgia,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,1056,lv,lv,IVR/Online/Text,U.S. Senate,2,Class III,1/2/21,1/4/21,1/5/21,,0,REP,,0,0,1/5/21 09:57,,https://www.thetrafalgargroup.org/news/ga-sen-0105/,runoff,7781,Warnock,14489,Raphael Warnock,DEM,48.4
40,138846,74006,2020,Georgia,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,1056,lv,lv,IVR/Online/Text,U.S. Senate,2,Class III,1/2/21,1/4/21,1/5/21,,0,REP,,0,0,1/5/21 09:57,,https://www.thetrafalgargroup.org/news/ga-sen-0105/,runoff,7781,Loeffler,13671,Kelly Loeffler,REP,49.7
41,138821,73992,2020,Georgia,235,Opinion Savvy/InsiderAdvantage,195,Fox 5 Atlanta,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,500,lv,lv,IVR/Live Phone,U.S. Senate,0,Class II,1/3/21,1/3/21,1/5/21,,0,,,0,0,1/4/21 16:12,,https://insideradvantage.com/2021/01/04/breaking-final-insideradvantage-poll-deadlocked-senate-runoffs/,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,48.6
42,138821,73992,2020,Georgia,235,Opinion Savvy/InsiderAdvantage,195,Fox 5 Atlanta,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,500,lv,lv,IVR/Live Phone,U.S. Senate,0,Class II,1/3/21,1/3/21,1/5/21,,0,,,0,0,1/4/21 16:12,,https://insideradvantage.com/2021/01/04/breaking-final-insideradvantage-poll-deadlocked-senate-runoffs/,runoff,8737,Perdue,14568,David A. Perdue,REP,48.7
43,138822,73992,2020,Georgia,235,Opinion Savvy/InsiderAdvantage,195,Fox 5 Atlanta,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,500,lv,lv,IVR/Live Phone,U.S. Senate,2,Class III,1/3/21,1/3/21,1/5/21,,0,,,0,0,1/4/21 16:12,,https://insideradvantage.com/2021/01/04/breaking-final-insideradvantage-poll-deadlocked-senate-runoffs/,runoff,7781,Warnock,14489,Raphael Warnock,DEM,48.7
44,138822,73992,2020,Georgia,235,Opinion Savvy/InsiderAdvantage,195,Fox 5 Atlanta,InsiderAdvantage,243,Opinion Savvy/InsiderAdvantage,B,500,lv,lv,IVR/Live Phone,U.S. Senate,2,Class III,1/3/21,1/3/21,1/5/21,,0,,,0,0,1/4/21 16:12,,https://insideradvantage.com/2021/01/04/breaking-final-insideradvantage-poll-deadlocked-senate-runoffs/,runoff,7781,Loeffler,13671,Kelly Loeffler,REP,49.2
45,138819,73991,2020,Georgia,334,National Research Inc.,1603,Preserve America PAC,National Research Inc.,225,National Research Inc.,A/B,500,lv,lv,Live Phone,U.S. Senate,0,Class II,1/2/21,1/3/21,1/5/21,,0,REP,,0,0,1/4/21 16:08,,https://www.axios.com/republican-poll-shows-statistical-tie-in-georgia-7c817124-5c12-40a5-a170-2db1bd105209.html,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,46.0
46,138819,73991,2020,Georgia,334,National Research Inc.,1603,Preserve America PAC,National Research Inc.,225,National Research Inc.,A/B,500,lv,lv,Live Phone,U.S. Senate,0,Class II,1/2/21,1/3/21,1/5/21,,0,REP,,0,0,1/4/21 16:08,,https://www.axios.com/republican-poll-shows-statistical-tie-in-georgia-7c817124-5c12-40a5-a170-2db1bd105209.html,runoff,8737,Perdue,14568,David A. Perdue,REP,45.0
47,138820,73991,2020,Georgia,334,National Research Inc.,1603,Preserve America PAC,National Research Inc.,225,National Research Inc.,A/B,500,lv,lv,Live Phone,U.S. Senate,2,Class III,1/2/21,1/3/21,1/5/21,,0,REP,,0,0,1/4/21 16:08,,https://www.axios.com/republican-poll-shows-statistical-tie-in-georgia-7c817124-5c12-40a5-a170-2db1bd105209.html,runoff,7781,Warnock,14489,Raphael Warnock,DEM,46.0
48,138820,73991,2020,Georgia,334,National Research Inc.,1603,Preserve America PAC,National Research Inc.,225,National Research Inc.,A/B,500,lv,lv,Live Phone,U.S. Senate,2,Class III,1/2/21,1/3/21,1/5/21,,0,REP,,0,0,1/4/21 16:08,,https://www.axios.com/republican-poll-shows-statistical-tie-in-georgia-7c817124-5c12-40a5-a170-2db1bd105209.html,runoff,7781,Loeffler,13671,Kelly Loeffler,REP,45.0
49,138753,73958,2020,Georgia,1613,"University of Nevada, Las Vegas Lee Business School",,,University of Nevada Las Vegas Lee Business School,609,"University of Nevada, Las Vegas Lee Business School",B/C,550,lv,lv,Online,U.S. Senate,0,Class II,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://busr.ag/georgia-senate-poll,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,47.8
50,138753,73958,2020,Georgia,1613,"University of Nevada, Las Vegas Lee Business School",,,University of Nevada Las Vegas Lee Business School,609,"University of Nevada, Las Vegas Lee Business School",B/C,550,lv,lv,Online,U.S. Senate,0,Class II,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://busr.ag/georgia-senate-poll,runoff,8737,Perdue,14568,David A. Perdue,REP,48.9
51,138754,73958,2020,Georgia,1613,"University of Nevada, Las Vegas Lee Business School",,,University of Nevada Las Vegas Lee Business School,609,"University of Nevada, Las Vegas Lee Business School",B/C,550,lv,lv,Online,U.S. Senate,2,Class III,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://busr.ag/georgia-senate-poll,runoff,7781,Warnock,14489,Raphael Warnock,DEM,47.7
52,138754,73958,2020,Georgia,1613,"University of Nevada, Las Vegas Lee Business School",,,University of Nevada Las Vegas Lee Business School,609,"University of Nevada, Las Vegas Lee Business School",B/C,550,lv,lv,Online,U.S. Senate,2,Class III,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://busr.ag/georgia-senate-poll,runoff,7781,Loeffler,13671,Kelly Loeffler,REP,48.6
53,138755,73959,2020,Georgia,1477,Targoz Market Research,,,Targoz Market Research,454,Targoz Market Research,B/C,713,lv,lv,Online,U.S. Senate,0,Class II,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,50.0
54,138755,73959,2020,Georgia,1477,Targoz Market Research,,,Targoz Market Research,454,Targoz Market Research,B/C,713,lv,lv,Online,U.S. Senate,0,Class II,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,runoff,8737,Perdue,14568,David A. Perdue,REP,50.0
55,138756,73959,2020,Georgia,1477,Targoz Market Research,,,Targoz Market Research,454,Targoz Market Research,B/C,713,lv,lv,Online,U.S. Senate,2,Class III,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,runoff,7781,Warnock,14489,Raphael Warnock,DEM,51.0
56,138756,73959,2020,Georgia,1477,Targoz Market Research,,,Targoz Market Research,454,Targoz Market Research,B/C,713,lv,lv,Online,U.S. Senate,2,Class III,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,runoff,7781,Loeffler,13671,Kelly Loeffler,REP,49.0
57,138757,73959,2020,Georgia,1477,Targoz Market Research,,,Targoz Market Research,454,Targoz Market Research,B/C,1342,rv,rv,Online,U.S. Senate,0,Class II,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,51.0
58,138757,73959,2020,Georgia,1477,Targoz Market Research,,,Targoz Market Research,454,Targoz Market Research,B/C,1342,rv,rv,Online,U.S. Senate,0,Class II,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,runoff,8737,Perdue,14568,David A. Perdue,REP,47.0
59,138758,73959,2020,Georgia,1477,Targoz Market Research,,,Targoz Market Research,454,Targoz Market Research,B/C,1342,rv,rv,Online,U.S. Senate,2,Class III,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,runoff,7781,Warnock,14489,Raphael Warnock,DEM,49.0
60,138758,73959,2020,Georgia,1477,Targoz Market Research,,,Targoz Market Research,454,Targoz Market Research,B/C,1342,rv,rv,Online,U.S. Senate,2,Class III,12/30/20,1/3/21,1/5/21,,0,,,0,0,1/4/21 08:08,,https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,runoff,7781,Loeffler,13671,Kelly Loeffler,REP,48.0
61,138751,73957,2020,Georgia,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,A,1680,lv,lv,Live Phone/Online,U.S. Senate,0,Class II,12/25/20,1/1/21,1/5/21,,0,,,0,0,1/3/21 14:44,,https://projects.fivethirtyeight.com/polls/20210103_GA_AtlasIntel.pdf,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,51.3
62,138751,73957,2020,Georgia,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,A,1680,lv,lv,Live Phone/Online,U.S. Senate,0,Class II,12/25/20,1/1/21,1/5/21,,0,,,0,0,1/3/21 14:44,,https://projects.fivethirtyeight.com/polls/20210103_GA_AtlasIntel.pdf,runoff,8737,Perdue,14568,David A. Perdue,REP,47.0
63,138752,73957,2020,Georgia,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,A,1680,lv,lv,Live Phone/Online,U.S. Senate,2,Class III,12/25/20,1/1/21,1/5/21,,0,,,0,0,1/3/21 14:44,,https://projects.fivethirtyeight.com/polls/20210103_GA_AtlasIntel.pdf,runoff,7781,Warnock,14489,Raphael Warnock,DEM,51.1
64,138752,73957,2020,Georgia,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,A,1680,lv,lv,Live Phone/Online,U.S. Senate,2,Class III,12/25/20,1/1/21,1/5/21,,0,,,0,0,1/3/21 14:44,,https://projects.fivethirtyeight.com/polls/20210103_GA_AtlasIntel.pdf,runoff,7781,Loeffler,13671,Kelly Loeffler,REP,46.9
65,138744,73956,2020,Georgia,801,Gravis Marketing,,,Gravis Marketing,124,Gravis Marketing,B,1011,lv,lv,IVR/Online,U.S. Senate,0,Class II,12/29/20,12/30/20,1/5/21,,0,,,0,0,1/2/21 13:53,,https://gravismarketing.com/wp-content/uploads/2021/01/Georgia-January-1-2021.pdf,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,50.0
66,138744,73956,2020,Georgia,801,Gravis Marketing,,,Gravis Marketing,124,Gravis Marketing,B,1011,lv,lv,IVR/Online,U.S. Senate,0,Class II,12/29/20,12/30/20,1/5/21,,0,,,0,0,1/2/21 13:53,,https://gravismarketing.com/wp-content/uploads/2021/01/Georgia-January-1-2021.pdf,runoff,8737,Perdue,14568,David A. Perdue,REP,47.0
67,138745,73956,2020,Georgia,801,Gravis Marketing,,,Gravis Marketing,124,Gravis Marketing,B,1011,lv,lv,IVR/Online,U.S. Senate,2,Class III,12/29/20,12/30/20,1/5/21,,0,,,0,0,1/2/21 13:53,,https://gravismarketing.com/wp-content/uploads/2021/01/Georgia-January-1-2021.pdf,runoff,7781,Warnock,14489,Raphael Warnock,DEM,49.0
68,138745,73956,2020,Georgia,801,Gravis Marketing,,,Gravis Marketing,124,Gravis Marketing,B,1011,lv,lv,IVR/Online,U.S. Senate,2,Class III,12/29/20,12/30/20,1/5/21,,0,,,0,0,1/2/21 13:53,,https://gravismarketing.com/wp-content/uploads/2021/01/Georgia-January-1-2021.pdf,runoff,7781,Loeffler,13671,Kelly Loeffler,REP,47.0
69,138671,73908,2020,Georgia,621,JMC Analytics,,,JMC Analytics,156,JMC Analytics,B/C,500,lv,lv,IVR/Live Phone,U.S. Senate,0,Class II,12/28/20,12/29/20,1/5/21,,0,,,0,0,12/30/20 10:26,,https://winwithjmc.com/wp-content/uploads/2020/12/Georgia-Senate-Runoff-Executive-Summary.pdf,runoff,8737,Ossoff,14567,Jon Ossoff,DEM,53.0
