poll_id,study_id,release_version,pollster_id,sponsor_id,source_url,raw_hash,field_start,field_end,published_at,corrected_at,retrieved_at,valid_from,valid_to,available_at,event_time,election_id,office,state,race_id,population,sample_size,mode,dem_share,rep_share,undecided,other_share,two_party_margin,partisan,exclusion_status,exclusion_reason,parser_version,normalized_at,supersedes
poll-2014-AL-10-92,study-2014-AL-YouGov-2014-08-04,1,YouGov,none,synthetic://fixtures/polls,ad3da530ba4101f6f7c846cdc06a9efbd722a1c64288d7656b99b90336d71a73,2014-08-02,2014-08-04,2014-08-04,,2026-09-13T15:08:13.801679+00:00,2014-08-04,,2014-08-04,2014-08-04,senate-2014,US_SENATE,AL,senate-2014-AL,LV,1200,IVR/Online,41.02,58.98,4.08,0.64,-17.967,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AL-11-83,study-2014-AL-Trafalgar-2014-08-13,1,Trafalgar,none,synthetic://fixtures/polls,7c0e52daba3e2c4aa02e2ba769a073571a0fcd543080459238ecde4e312f3089,2014-08-09,2014-08-13,2014-08-14,,2026-09-13T15:08:13.801679+00:00,2014-08-14,,2014-08-14,2014-08-13,senate-2014,US_SENATE,AL,senate-2014-AL,LV,600,IVR/Online,38.51,61.49,0.94,1.44,-22.979,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AL-12-44,study-2014-AL-PPP-2014-09-21,1,PPP,none,synthetic://fixtures/polls,65911be9e1c545c3f7f69a415fadc3e092ed55f8f3aca43a7bf61417128f037b,2014-09-17,2014-09-21,2014-09-21,,2026-09-13T15:08:13.801679+00:00,2014-09-21,,2014-09-21,2014-09-21,senate-2014,US_SENATE,AL,senate-2014-AL,LV,500,Online,42.13,57.87,1.49,1.03,-15.733,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-0-84,study-2014-AK-Trafalgar-2014-08-12,1,Trafalgar,none,synthetic://fixtures/polls,0b352dc9490dffa49e849e11e993c02ae9852b78781785d5c97c8137400c5e30,2014-08-09,2014-08-12,2014-08-13,,2026-09-13T15:08:13.801679+00:00,2014-08-13,,2014-08-13,2014-08-12,senate-2014,US_SENATE,AK,senate-2014-AK,LV,400,Online,35.96,64.04,1.18,0.71,-28.07,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-1-44,study-2014-AK-Trafalgar-2014-09-21,1,Trafalgar,none,synthetic://fixtures/polls,4d3097e78ee06602ec35ae528bf019b6fc5064589e4e9ed64899dfbbfa1c964a,2014-09-19,2014-09-21,2014-09-21,,2026-09-13T15:08:13.801679+00:00,2014-09-21,,2014-09-21,2014-09-21,senate-2014,US_SENATE,AK,senate-2014-AK,LV,600,IVR/Online,38.26,61.74,4.28,1.83,-23.479,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-2-11,study-2014-AK-Quinnipiac-tracker,1,Quinnipiac,none,synthetic://fixtures/polls,1160cc6c9e6820ed55530982a51376b1fbfae775a756308533adc180735870b5,2014-09-28,2014-10-01,2014-10-02,,2026-09-13T15:08:13.801679+00:00,2014-10-02,,2014-10-02,2014-10-01,senate-2014,US_SENATE,AK,senate-2014-AK,LV,1200,Online,37.43,62.57,3.29,1.69,-25.134,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-3-32,study-2014-AK-Quinnipiac-tracker,1,Quinnipiac,none,synthetic://fixtures/polls,27beb6dd2c2d2bbbf99943bc4da02ba14b999a654b32c91db4ddb3c9cb0d0e33,2014-09-27,2014-09-30,2014-10-01,,2026-09-13T15:08:13.801679+00:00,2014-10-01,,2014-10-01,2014-09-30,senate-2014,US_SENATE,AK,senate-2014-AK,LV,500,Live Phone,39.9,60.1,2.25,1.3,-20.193,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-4-125,study-2014-AK-Emerson-2014-07-02,1,Emerson,none,synthetic://fixtures/polls,4a5ff4ab9f41584eb9f44d5251ada3114ef2b0b1b5e1d2317bd1460a36e64d2b,2014-06-29,2014-07-02,2014-07-02,,2026-09-13T15:08:13.801679+00:00,2014-07-02,,2014-07-02,2014-07-02,senate-2014,US_SENATE,AK,senate-2014-AK,RV,1200,IVR/Online,38.46,61.54,3.72,0.24,-23.088,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-5-38,study-2014-AK-Emerson-2014-09-27,1,Emerson,none,synthetic://fixtures/polls,ec3259d6c9b97d69a733abc9bd5495f3e0a589aa58736a17574ac8ff26b19cf2,2014-09-25,2014-09-27,2014-09-28,,2026-09-13T15:08:13.801679+00:00,2014-09-28,,2014-09-28,2014-09-27,senate-2014,US_SENATE,AK,senate-2014-AK,LV,600,IVR/Online,36.81,63.19,3.98,1.42,-26.385,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-6-95,study-2014-AK-SurveyUSA-2014-08-01,1,SurveyUSA,none,synthetic://fixtures/polls,af861bb200c18a058a18b1b25ea3829f80335ae3dbf486820c4f42ae52c5d83f,2014-07-28,2014-08-01,2014-08-01,,2026-09-13T15:08:13.801679+00:00,2014-08-01,,2014-08-01,2014-08-01,senate-2014,US_SENATE,AK,senate-2014-AK,LV,600,Online,37.86,62.14,6.15,1.25,-24.288,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-7-72,study-2014-AK-RMG Research-2014-08-24,1,RMG Research,none,synthetic://fixtures/polls,bf1c779a5fc7c73038dfbaaac3f04daedb9784128c5a131e3afeb885ae33a79c,2014-08-20,2014-08-24,2014-08-25,,2026-09-13T15:08:13.801679+00:00,2014-08-25,,2014-08-25,2014-08-24,senate-2014,US_SENATE,AK,senate-2014-AK,RV,600,IVR/Online,39.99,60.01,7.0,1.3,-20.029,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-8-90,study-2014-AK-SurveyUSA-2014-08-06,1,SurveyUSA,none,synthetic://fixtures/polls,32c6f90220728e3f0b5751de54a61fd8a9db5ac4ece31e805a45894bb7342c5c,2014-08-03,2014-08-06,2014-08-06,,2026-09-13T15:08:13.801679+00:00,2014-08-06,,2014-08-06,2014-08-06,senate-2014,US_SENATE,AK,senate-2014-AK,LV,500,IVR/Online,35.14,64.86,1.31,0.69,-29.727,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-9-102,study-2014-AK-Data for Progress-2014-07-25,1,Data for Progress,none,synthetic://fixtures/polls,28b795192c3836951e0c519f5fa5f84451313083bb6fae6d8564b31df28e80e2,2014-07-22,2014-07-25,2014-07-25,,2026-09-13T15:08:13.801679+00:00,2014-07-25,,2014-07-25,2014-07-25,senate-2014,US_SENATE,AK,senate-2014-AK,LV,900,Live Phone,41.79,58.21,2.99,0.74,-16.423,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-10-144,study-2014-AK-YouGov-2014-06-13,1,YouGov,none,synthetic://fixtures/polls,39d2b3ad3bba6203ee4023aab6e4a5e51cb0583c02a6ea3f15cf7435e59b451b,2014-06-11,2014-06-13,2014-06-14,,2026-09-13T15:08:13.801679+00:00,2014-06-14,,2014-06-14,2014-06-13,senate-2014,US_SENATE,AK,senate-2014-AK,LV,1200,Online,39.22,60.78,5.45,1.33,-21.555,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-11-97,study-2014-AK-Quinnipiac-2014-07-30,1,Quinnipiac,none,synthetic://fixtures/polls,f92acb27dc7f01072a5b4c4d53819923b945a1a7a0fd7e41df0a4eaef758a6b5,2014-07-26,2014-07-30,2014-07-30,,2026-09-13T15:08:13.801679+00:00,2014-07-30,,2014-07-30,2014-07-30,senate-2014,US_SENATE,AK,senate-2014-AK,LV,500,Live Phone,38.25,61.75,6.16,0.98,-23.491,False,include,,fixtures-v1,2026-09-13T15:08:13.801679+00:00,
poll-2014-AK-12-95,study-2014-AK-SurveyUSA-2014-08-01,1,SurveyUSA,none,synthetic://fixtures/polls,4eb2459a5fbde699f1dee2043e21f89624355d3f20815d9b093b9ea035c3e021,2014-07-30,2014-08-01,2014-08-01,,2026-09-13T15:08:13.802679+00:00,2014-08-01,,2014-08-01,2014-08-01,senate-2014,US_SENATE,AK,senate-2014-AK,LV,750,IVR/Online,43.49,56.51,5.31,1.31,-13.018,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AK-13-31,study-2014-AK-Siena-2014-10-04,1,Siena,none,synthetic://fixtures/polls,31168d5233e7f7443126675ed5be8bbf61df3b12ab7c3b3a40f7d7b8711c9908,2014-10-01,2014-10-04,2014-10-04,,2026-09-13T15:08:13.802679+00:00,2014-10-04,,2014-10-04,2014-10-04,senate-2014,US_SENATE,AK,senate-2014-AK,RV,500,Live Phone,43.83,56.17,2.41,0.82,-12.346,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AK-14-14,study-2014-AK-RMG Research-2014-10-21,1,RMG Research,none,synthetic://fixtures/polls,7cbaca9772f8b78f70d9b6954aaa60fe1f8bf47ea72008ee396d3daacca165e7,2014-10-19,2014-10-21,2014-10-21,,2026-09-13T15:08:13.802679+00:00,2014-10-21,,2014-10-21,2014-10-21,senate-2014,US_SENATE,AK,senate-2014-AK,LV,750,Online,41.53,58.47,6.66,1.02,-16.938,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-0-49,study-2014-AR-Trafalgar-tracker,1,Trafalgar,none,synthetic://fixtures/polls,d50621bfffa15af4ad10896b83261c127ec537c2ab4970d6db5e494d22cb62ce,2014-10-09,2014-10-12,2014-10-13,,2026-09-13T15:08:13.802679+00:00,2014-10-13,,2014-10-13,2014-10-12,senate-2014,US_SENATE,AR,senate-2014-AR,LV,900,Live Phone,33.07,66.93,3.77,1.53,-33.861,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-1-110,study-2014-AR-Trafalgar-tracker,1,Trafalgar,none,synthetic://fixtures/polls,e2b582dcdbc771441d10a2312c5a17c422ad8777416fc2776b942656d18036dd,2014-10-08,2014-10-11,2014-10-12,,2026-09-13T15:08:13.802679+00:00,2014-10-12,,2014-10-12,2014-10-11,senate-2014,US_SENATE,AR,senate-2014-AR,LV,750,Online,34.59,65.41,5.8,1.64,-30.814,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-2-78,study-2014-AR-Quinnipiac-2014-08-18,1,Quinnipiac,none,synthetic://fixtures/polls,84f0b558fb356d335272d33135bf751d4063a8039f5d91d606dca3dbb3e660e2,2014-08-15,2014-08-18,2014-08-19,,2026-09-13T15:08:13.802679+00:00,2014-08-19,,2014-08-19,2014-08-18,senate-2014,US_SENATE,AR,senate-2014-AR,LV,750,Online,31.08,68.92,3.23,0.36,-37.832,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-3-105,study-2014-AR-Trafalgar-tracker,1,Trafalgar,none,synthetic://fixtures/polls,b44351c69f281a1cc26041745aa3ba90e4e08929c6709bbb51abfe461edcda5e,2014-10-06,2014-10-09,2014-10-10,,2026-09-13T15:08:13.802679+00:00,2014-10-10,,2014-10-10,2014-10-09,senate-2014,US_SENATE,AR,senate-2014-AR,RV,1200,IVR/Online,32.29,67.71,5.87,0.91,-35.412,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-4-125,study-2014-AR-Marist-2014-07-02,1,Marist,none,synthetic://fixtures/polls,84ff6a4cd57f777c939cb4836368afabea90c56d2e981258bf0a6df48311e290,2014-06-30,2014-07-02,2014-07-03,,2026-09-13T15:08:13.802679+00:00,2014-07-03,,2014-07-03,2014-07-02,senate-2014,US_SENATE,AR,senate-2014-AR,RV,600,Live Phone,33.98,66.02,2.33,1.67,-32.05,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-5-54,study-2014-AR-Data for Progress-2014-09-11,1,Data for Progress,none,synthetic://fixtures/polls,68217ce24d5187a31bb61f9fa2110a6bfc88e8fb5e8c777f7974ef1fe48b0cc7,2014-09-08,2014-09-11,2014-09-11,,2026-09-13T15:08:13.802679+00:00,2014-09-11,,2014-09-11,2014-09-11,senate-2014,US_SENATE,AR,senate-2014-AR,LV,500,Live Phone,39.66,60.34,5.72,0.87,-20.687,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-6-72,study-2014-AR-YouGov-2014-08-24,1,YouGov,none,synthetic://fixtures/polls,952100419526d860bf3ac83c24d30eebc44331a4e2f8ea1676847454a92cede4,2014-08-22,2014-08-24,2014-08-24,,2026-09-13T15:08:13.802679+00:00,2014-08-24,,2014-08-24,2014-08-24,senate-2014,US_SENATE,AR,senate-2014-AR,LV,600,Online,30.11,69.89,3.17,1.01,-39.784,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-7-31,study-2014-AR-SurveyUSA-2014-10-04,1,SurveyUSA,none,synthetic://fixtures/polls,e8598abdad07936734f6867ff8d582a581e9d01e1dc1db0c43007b08d535518c,2014-09-30,2014-10-04,2014-10-04,,2026-09-13T15:08:13.802679+00:00,2014-10-04,,2014-10-04,2014-10-04,senate-2014,US_SENATE,AR,senate-2014-AR,LV,400,Live Phone,28.43,71.57,5.53,2.06,-43.141,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-8-34,study-2014-AR-RMG Research-2014-10-01,1,RMG Research,none,synthetic://fixtures/polls,71a3928c2f6d0410789d6e267f86979af365f9a4d037ed00c871216a4839174e,2014-09-27,2014-10-01,2014-10-01,,2026-09-13T15:08:13.802679+00:00,2014-10-01,,2014-10-01,2014-10-01,senate-2014,US_SENATE,AR,senate-2014-AR,LV,900,Live Phone,33.36,66.64,0.68,1.28,-33.281,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-9-61,study-2014-AR-Emerson-2014-09-04,1,Emerson,none,synthetic://fixtures/polls,e79c672a692406afaf4f12a90b49d0955447e72141f0570821dea3fa68bcdec7,2014-09-02,2014-09-04,2014-09-04,,2026-09-13T15:08:13.802679+00:00,2014-09-04,,2014-09-04,2014-09-04,senate-2014,US_SENATE,AR,senate-2014-AR,RV,1200,Online,30.88,69.12,4.74,0.86,-38.24,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-10-149,study-2014-AR-Marist-2014-06-08,1,Marist,none,synthetic://fixtures/polls,810592b05f96fb9494a836433720296204fcd4de60ed41a546e1013f9a5a44f1,2014-06-06,2014-06-08,2014-06-09,,2026-09-13T15:08:13.802679+00:00,2014-06-09,,2014-06-09,2014-06-08,senate-2014,US_SENATE,AR,senate-2014-AR,LV,1200,IVR/Online,39.42,60.58,5.3,1.11,-21.155,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-11-116,study-2014-AR-Quinnipiac-2014-07-11,1,Quinnipiac,none,synthetic://fixtures/polls,25c587742c6a8c8675996fe719449539812b976175223de3b5fca1b4b48a8b09,2014-07-09,2014-07-11,2014-07-12,,2026-09-13T15:08:13.802679+00:00,2014-07-12,,2014-07-12,2014-07-11,senate-2014,US_SENATE,AR,senate-2014-AR,LV,400,Online,42.03,57.97,6.23,0.1,-15.942,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-12-145,study-2014-AR-Quinnipiac-2014-06-12,1,Quinnipiac,none,synthetic://fixtures/polls,716136feeaf46ad880359b8307e0f3c385d6d74792ebcf5da2a7bd8b69873efd,2014-06-09,2014-06-12,2014-06-13,,2026-09-13T15:08:13.802679+00:00,2014-06-13,,2014-06-13,2014-06-12,senate-2014,US_SENATE,AR,senate-2014-AR,RV,600,Live Phone,35.06,64.94,2.52,1.47,-29.888,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-13-24,study-2014-AR-YouGov-2014-10-11,1,YouGov,none,synthetic://fixtures/polls,b1c9d872e6c198922a41d271594bfa4f0f2d3a99d2c4c14beb42ef36af08cd60,2014-10-08,2014-10-11,2014-10-11,,2026-09-13T15:08:13.802679+00:00,2014-10-11,,2014-10-11,2014-10-11,senate-2014,US_SENATE,AR,senate-2014-AR,LV,900,Live Phone,32.7,67.3,3.64,0.54,-34.607,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-14-98,study-2014-AR-RMG Research-2014-07-29,1,RMG Research,none,synthetic://fixtures/polls,9f6a264812bedc5058fa20e3b3c2812c14553e8ac19019dc94c718d239032e1b,2014-07-26,2014-07-29,2014-07-30,,2026-09-13T15:08:13.802679+00:00,2014-07-30,,2014-07-30,2014-07-29,senate-2014,US_SENATE,AR,senate-2014-AR,RV,600,Live Phone,37.56,62.44,4.62,0.23,-24.886,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-AR-15-31,study-2014-AR-YouGov-2014-10-04,1,YouGov,none,synthetic://fixtures/polls,43adac10c00cb8242961e268b8355d0b4943b7ef393ab36dc9ab660d6af09abe,2014-10-02,2014-10-04,2014-10-04,,2026-09-13T15:08:13.802679+00:00,2014-10-04,,2014-10-04,2014-10-04,senate-2014,US_SENATE,AR,senate-2014-AR,LV,400,Online,36.13,63.87,4.25,0.98,-27.737,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-CO-0-44,study-2014-CO-Trafalgar-2014-09-21,1,Trafalgar,none,synthetic://fixtures/polls,480348fd1f8f1637e13c62f0c5b7911cbfab74b04eaff00236b289797bad27af,2014-09-19,2014-09-21,2014-09-21,,2026-09-13T15:08:13.802679+00:00,2014-09-21,,2014-09-21,2014-09-21,senate-2014,US_SENATE,CO,senate-2014-CO,LV,600,Live Phone,49.29,50.71,3.76,1.34,-1.43,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-CO-1-18,study-2014-CO-RMG Research-tracker,1,RMG Research,none,synthetic://fixtures/polls,300a3441f99dbc70342cb9257163e80ebc0a242a1ae33481dd9024d51c63c37f,2014-09-16,2014-09-19,2014-09-20,,2026-09-13T15:08:13.802679+00:00,2014-09-20,,2014-09-20,2014-09-19,senate-2014,US_SENATE,CO,senate-2014-CO,LV,500,Live Phone,57.59,42.41,6.79,0.54,15.181,False,include,,fixtures-v1,2026-09-13T15:08:13.802679+00:00,
poll-2014-CO-2-53,study-2014-CO-Data for Progress-2014-09-12,1,Data for Progress,none,synthetic://fixtures/polls,01575d5f4c72107c123db6e096eaeef90f0c4a5b76b164520662deba6f8fd537,2014-09-09,2014-09-12,2014-09-13,,2026-09-13T15:08:13.803678+00:00,2014-09-13,,2014-09-13,2014-09-12,senate-2014,US_SENATE,CO,senate-2014-CO,LV,750,Live Phone,52.33,47.67,2.06,1.42,4.668,False,include,,fixtures-v1,2026-09-13T15:08:13.803678+00:00,
poll-2014-CO-3-64,study-2014-CO-RMG Research-tracker,1,RMG Research,none,synthetic://fixtures/polls,17cc1a09db1779b1182a779a2d53c13fe495ef87b0cd243030f01aaed36ac3f2,2014-09-14,2014-09-17,2014-09-18,,2026-09-13T15:08:13.803678+00:00,2014-09-18,,2014-09-18,2014-09-17,senate-2014,US_SENATE,CO,senate-2014-CO,LV,500,Live Phone,58.86,41.14,4.22,1.1,17.724,False,include,,fixtures-v1,2026-09-13T15:08:13.803678+00:00,
poll-2014-CO-4-85,study-2014-CO-YouGov-2014-08-11,1,YouGov,none,synthetic://fixtures/polls,01ce6eb74a5dc8b2f9dbe4bb51cd3aaaa4b8465dba8bc7e1a434cba9239e1451,2014-08-07,2014-08-11,2014-08-12,,2026-09-13T15:08:13.803678+00:00,2014-08-12,,2014-08-12,2014-08-11,senate-2014,US_SENATE,CO,senate-2014-CO,LV,600,IVR/Online,53.18,46.82,2.15,0.16,6.367,False,include,,fixtures-v1,2026-09-13T15:08:13.803678+00:00,
poll-2014-CO-5-49,study-2014-CO-SurveyUSA-2014-09-16,1,SurveyUSA,none,synthetic://fixtures/polls,eca418b56feacbbe3e7404c641892d7a218d625775b3682cdeb88dc44e06e088,2014-09-12,2014-09-16,2014-09-16,,2026-09-13T15:08:13.803678+00:00,2014-09-16,,2014-09-16,2014-09-16,senate-2014,US_SENATE,CO,senate-2014-CO,LV,600,IVR/Online,52.72,47.28,4.33,1.45,5.441,False,include,,fixtures-v1,2026-09-13T15:08:13.803678+00:00,
poll-2014-CO-6-89,study-2014-CO-Marist-2014-08-07,1,Marist,none,synthetic://fixtures/polls,dc8b4663434218661d47b9abd5718e2b2894b3428974deeb3a7357426c87d017,2014-08-04,2014-08-07,2014-08-08,,2026-09-13T15:08:13.803678+00:00,2014-08-08,,2014-08-08,2014-08-07,senate-2014,US_SENATE,CO,senate-2014-CO,LV,750,Online,52.21,47.79,3.41,0.67,4.412,False,include,,fixtures-v1,2026-09-13T15:08:13.803678+00:00,
poll-2014-CO-7-23,study-2014-CO-Siena-2014-10-12,1,Siena,none,synthetic://fixtures/polls,1e4b8b2517565988ce04bd0af77a14b996bdf89c2810b3251a91934d15a6385f,2014-10-09,2014-10-12,2014-10-12,,2026-09-13T15:08:13.803678+00:00,2014-10-12,,2014-10-12,2014-10-12,senate-2014,US_SENATE,CO,senate-2014-CO,RV,400,Live Phone,52.23,47.77,5.73,0.85,4.451,False,include,,fixtures-v1,2026-09-13T15:08:13.803678+00:00,
poll-2014-CO-8-58,study-2014-CO-Marist-2014-09-07,1,Marist,none,synthetic://fixtures/polls,f2d16e912ca0c6b28f3f1acb6dd4d4e813dd2cfeb413d31dafa86488e4c05697,2014-09-05,2014-09-07,2014-09-07,,2026-09-13T15:08:13.803678+00:00,2014-09-07,,2014-09-07,2014-09-07,senate-2014,US_SENATE,CO,senate-2014-CO,LV,750,IVR/Online,57.19,42.81,2.89,0.92,14.389,False,include,,fixtures-v1,2026-09-13T15:08:13.803678+00:00,
